Month,"Facility UID","MFL Code","Week Start Date","original dateupdated","original hts_tst_below_15_female","original hts_tst_below_15_male","original hts_tst_above_15_female","original hts_tst_above_15_male","original hts_tst_pos_below_15_female","original hts_tst_pos_below_15_male","original hts_tst_pos_above_15_female","original hts_tst_pos_above_15_male","original tx_new_below_15_female","original tx_new_below_15_male","original tx_new_above_15_female","original tx_new_above_15_male","original vmmc_circ_below_15_male","original vmmc_circ_above_15_male","original prep_new_below_15_female","original prep_new_below_15_male","original prep_new_above_15_female","original prep_new_above_15_male","original tx_curr_below_15_female","original tx_curr_below_15_male","original tx_curr_above_15_female","original tx_curr_above_15_male","original tx_mmd_below_15_female_less_3m","original tx_mmd_below_15_male_less_3m","original tx_mmd_above_15_female_less_3m","original tx_mmd_above_15_male_less_3m","original tx_mmd_below_15_female_3_5m","original tx_mmd_below_15_male_3_5m","original tx_mmd_above_15_female_3_5m","original tx_mmd_above_15_male_3_5m","original tx_mmd_below_15_female_above_6m","original tx_mmd_below_15_male_above_6m","original tx_mmd_above_15_female_above_6m","original tx_mmd_above_15_male_above_6m","duplicate dateupdated","duplicate hts_tst_below_15_female","duplicate hts_tst_below_15_male","duplicate hts_tst_above_15_female","duplicate hts_tst_above_15_male","duplicate hts_tst_pos_below_15_female","duplicate hts_tst_pos_below_15_male","duplicate hts_tst_pos_above_15_female","duplicate hts_tst_pos_above_15_male","duplicate tx_new_below_15_female","duplicate tx_new_below_15_male","duplicate tx_new_above_15_female","duplicate tx_new_above_15_male","duplicate vmmc_circ_below_15_male","duplicate vmmc_circ_above_15_male","duplicate prep_new_below_15_female","duplicate prep_new_below_15_male","duplicate prep_new_above_15_female","duplicate prep_new_above_15_male","duplicate tx_curr_below_15_female","duplicate tx_curr_below_15_male","duplicate tx_curr_above_15_female","duplicate tx_curr_above_15_male","duplicate tx_mmd_below_15_female_less_3m","duplicate tx_mmd_below_15_male_less_3m","duplicate tx_mmd_above_15_female_less_3m","duplicate tx_mmd_above_15_male_less_3m","duplicate tx_mmd_below_15_female_3_5m","duplicate tx_mmd_below_15_male_3_5m","duplicate tx_mmd_above_15_female_3_5m","duplicate tx_mmd_above_15_male_3_5m","duplicate tx_mmd_below_15_female_above_6m","duplicate tx_mmd_below_15_male_above_6m","duplicate tx_mmd_above_15_female_above_6m","duplicate tx_mmd_above_15_male_above_6m"
Mar,sxKfNcO7cum,13173,2022-03-28,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,1,1,47,14,0,0,0,2,0,0,0,2,0,0,0,0,2,0,3,2,509,277,3,2,173,67,0,0,326,203,0,0,10,7
Feb,tmykRkKiWjH,11632,2022-02-28,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,tmykRkKiWjH,11632,2022-03-07,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,tmykRkKiWjH,11632,2022-03-14,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,tmykRkKiWjH,11632,2022-03-21,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,tmykRkKiWjH,11632,2022-03-28,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,132,53,2,2,14,6,0,0,117,47,0,0,1,0,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb,ubJC73hL3lp,11441,2022-02-28,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,ubJC73hL3lp,11441,2022-03-07,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,ubJC73hL3lp,11441,2022-03-14,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,ubJC73hL3lp,11441,2022-03-21,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar,ubJC73hL3lp,11441,2022-03-28,2022-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-04-27,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
